"Symbol","Description","Category2","Category3","GICS Sector","Market cap","Dividend yield","Price to TTM earnings","Price to TTM sales","Price to book value","Action"
"GNRC","Generac Holdings Inc","Common stocks","Large cap","Industrials","$11,828,507,415","0.00%","22.13","2.91","4.94","Analyze"
"BEN","Franklin Resources Inc","Common stocks","Large cap","Financials","$11,671,523,540","4.87%","6.16","1.35","1.01","Analyze"
"WDC","Western Digital Corp","Common stocks","Large cap","Information Technology","$11,577,783,418","0.00%","6.48","0.60","0.98","Analyze"
"UAL","United Continental Holdings Inc","Common stocks","Large cap","Industrials","$11,543,890,180","0.00%","-5.83","0.40","3.19","Analyze"
"SNA","Snap On Inc","Common stocks","Large cap","Industrials","$11,421,700,759","2.63%","13.49","2.44","2.65","Analyze"
"MAS","Masco Corp","Common stocks","Large cap","Industrials","$11,345,894,246","2.12%","20.50","1.32","-30.34","Analyze"
"LW","Lamb Weston Holdings Inc","Common stocks","Large cap","Consumer Staples","$11,332,505,247","1.22%","50.37","2.87","30.10","Analyze"
"RCL","Royal Caribbean Cruises Ltd","Common stocks","Large cap","Consumer Discretionary","$11,184,345,788","0.00%","-2.09","4.39","2.78","Analyze"
"VTRS","Viatris Inc.","Common stocks","Large cap","Health Care","$11,167,870,457","5.02%","66.38","0.63","0.54","Analyze"
"PKG","Packaging Corp Of America","Common stocks","Large cap","Materials","$11,074,435,212","3.76%","11.94","1.37","2.91","Analyze"
"NI","Nisource Inc","Common stocks","Large cap","Utilities","$10,920,135,673","3.40%","16.06","2.09","1.47","Analyze"
"RE","Everest Re Group Ltd","Common stocks","Large cap","Financials","$10,914,331,685","2.29%","8.08","0.95","1.13","Analyze"
"CRL","Charles River Laboratories International","Common stocks","Large cap","Health Care","$10,840,496,621","0.00%","25.94","2.99","4.20","Analyze"
"KMX","Carmax Inc","Common stocks","Large cap","Consumer Discretionary","$10,816,160,359","0.00%","9.16","0.34","2.01","Analyze"
"IPG","Interpublic Group Of Companies Inc","Common stocks","Large cap","Communication Services","$10,632,058,009","4.13%","10.44","1.01","3.05","Analyze"
"CE","Celanese Corporation","Common stocks","Large cap","Materials","$10,498,984,476","2.78%","4.96","1.13","2.23","Analyze"
"GL","Globe Life Inc.","Common stocks","Large cap","Financials","$10,392,684,603","0.57%","14.20","2.01","1.51","Analyze"
"AAP","Advance Auto Parts Inc","Common stocks","Large cap","Consumer Discretionary","$10,089,644,051","3.24%","16.36","0.92","3.22","Analyze"
"NLSN","Nielsen Holdings Plc","Common stocks","Large cap","Industrials","$10,046,574,801","0.86%","20.28","2.86","2.95","Analyze"
"TAP","Molson Coors Brewing Class B","Common stocks","Large cap","Consumer Staples","$10,037,538,572","2.97%","9.05","0.76","0.72","Analyze"
"CMA","Comerica Inc","Common stocks","Mid cap","Financials","$9,999,863,219","3.51%","10.12","3.62","1.41","Analyze"
"SBNY","Signature Bank","Common stocks","Mid cap","Financials","$9,949,201,201","1.36%","9.47","4.58","1.19","Analyze"
"HAS","Hasbro Inc","Common stocks","Mid cap","Consumer Discretionary","$9,732,672,428","3.87%","25.23","1.50","3.10","Analyze"
"TFX","Teleflex Inc","Common stocks","Mid cap","Health Care","$9,674,215,856","0.66%","19.77","3.43","2.54","Analyze"
"REG","Regency Centers Corporation","REITs","Mid cap","Real Estate","$9,664,356,011","4.39%","12.15","8.09","1.57","Analyze"
"NRG","NRG Energy Inc","Common stocks","Mid cap","Utilities","$9,643,384,293","3.31%","2.44","0.36","1.94","Analyze"
"NWS","News Corp Class B","Common stocks","Mid cap","Communication Services","$9,582,436,100","1.20%","6.45","0.94","0.38","Analyze"
"NWSA","News Corp Class A","Common stocks","Mid cap","Communication Services","$9,582,436,100","1.22%","12.47","0.94","0.74","Analyze"
"HSIC","Henry Schein Inc","Common stocks","Mid cap","Health Care","$9,547,088,144","0.00%","14.73","0.75","2.65","Analyze"
"EMN","Eastman Chemical","Common stocks","Mid cap","Materials","$9,502,922,117","3.88%","11.50","0.88","1.60","Analyze"
"PHM","Pultegroup Inc","Common stocks","Mid cap","Consumer Discretionary","$9,489,115,317","1.46%","4.53","0.66","1.28","Analyze"
"CDAY","Ceridian HCM Holding Inc.","Common stocks","Mid cap","Information Technology","$9,293,631,970","0.00%","-112.69","8.58","4.40","Analyze"
"HII","Huntington Ingalls Industries Inc","Common stocks","Mid cap","Industrials","$9,275,466,912","2.02%","17.37","0.94","3.30","Analyze"
"FFIV","F5 Networks Inc","Common stocks","Mid cap","Information Technology","$9,257,156,036","0.00%","26.59","3.49","3.88","Analyze"
"JNPR","Juniper Networks Inc","Common stocks","Mid cap","Information Technology","$8,913,699,490","2.98%","26.21","1.85","2.09","Analyze"
"MKTX","Marketaxess Holdings Inc","Common stocks","Mid cap","Financials","$8,888,311,489","1.16%","37.23","12.89","8.81","Analyze"
"QRVO","Qorvo, Inc.","Common stocks","Mid cap","Information Technology","$8,882,770,001","0.00%","8.72","1.91","1.98","Analyze"
"RHI","Robert Half","Common stocks","Mid cap","Industrials","$8,765,429,680","2.07%","13.30","1.27","6.01","Analyze"
"CCL","Carnival Corp","Common stocks","Mid cap","Consumer Discretionary","$8,634,604,807","0.00%","-0.88","2.46","0.80","Analyze"
"WRK","Westrock","Common stocks","Mid cap","Materials","$8,422,857,542","3.00%","10.48","0.42","0.72","Analyze"
"ALLE","Allegion PLC","Common stocks","Mid cap","Industrials","$8,418,398,137","1.65%","18.01","2.91","11.37","Analyze"
"AAL","American Airlines Group Inc","Common stocks","Mid cap","Industrials","$8,415,504,755","0.00%","-3.52","0.24","-0.94","Analyze"
"LNC","Lincoln National Corp","Common stocks","Mid cap","Financials","$8,387,038,617","3.55%","6.43","0.44","0.56","Analyze"
"LUMN","CenturyLink, Inc.","Common stocks","Mid cap","Communication Services","$8,324,128,897","12.03%","3.49","0.43","0.61","Analyze"
"ZION","Zions Bancorporation","Common stocks","Mid cap","Financials","$8,203,699,365","2.82%","8.21","2.97","1.28","Analyze"
"DVA","Davita Inc","Common stocks","Mid cap","Health Care","$8,159,481,000","0.00%","9.02","0.70","9.66","Analyze"
"CZR","Caesars Entertainment Corp","Common stocks","Mid cap","Consumer Discretionary","$8,158,563,730","0.00%","-13.86","0.81","2.18","Analyze"
"AIZ","Assurant Inc","Common stocks","Mid cap","Financials","$8,137,833,860","1.77%","5.97","0.79","1.61","Analyze"
"BWA","BorgWarner Inc","Common stocks","Mid cap","Consumer Discretionary","$8,130,415,542","1.97%","12.04","0.55","1.15","Analyze"
"WYNN","Wynn Resorts Ltd","Common stocks","Mid cap","Consumer Discretionary","$8,045,233,248","0.00%","-12.47","2.02","-24.36","Analyze"
"BBWI","Bath & Body Works, Inc.","Common stocks","Mid cap","Consumer Discretionary","$8,011,371,005","2.12%","6.68","0.85","-5.33","Analyze"
"WHR","Whirlpool Corp","Common stocks","Mid cap","Consumer Discretionary","$7,970,713,029","4.48%","4.73","0.37","1.72","Analyze"
"FBHS","Fortune Brands Home And Security","Common stocks","Mid cap","Industrials","$7,624,529,377","1.85%","8.55","0.98","2.58","Analyze"
"TPR","Tapestry","Common stocks","Mid cap","Consumer Discretionary","$7,610,043,071","3.30%","8.89","1.14","3.04","Analyze"
"PNW","Pinnacle West Corp","Common stocks","Mid cap","Utilities","$7,573,922,674","4.99%","12.30","1.95","1.24","Analyze"
"FRT","Federal Realty Investment Trust","REITs","Mid cap","Real Estate","$7,568,960,613","3.42%","28.95","7.65","2.86","Analyze"
"PNR","Pentair","Common stocks","Mid cap","Industrials","$7,089,866,806","1.91%","12.90","1.82","2.79","Analyze"
"IVZ","Invesco Ltd","Common stocks","Mid cap","Financials","$6,969,682,822","4.60%","5.24","1.02","0.45","Analyze"
"SEE","Sealed Air Corp","Common stocks","Mid cap","Materials","$6,753,061,359","1.71%","12.24","1.19","35.09","Analyze"
"AOS","A O Smith Corp","Common stocks","Mid cap","Industrials","$6,727,076,821","2.12%","12.99","1.80","3.66","Analyze"
"OGN","Organon & Co.","Common stocks","Mid cap","Health Care","$6,538,820,521","4.30%","5.01","1.03","-5.21","Analyze"
"XRAY","Dentsply Sirona Inc","Common stocks","Mid cap","Health Care","$6,448,465,071","1.61%","17.66","1.54","1.33","Analyze"
"MHK","Mohawk Industries Inc","Common stocks","Mid cap","Consumer Discretionary","$6,388,318,764","0.00%","6.03","0.55","0.76","Analyze"
"DXC","DXC Technology Company","Common stocks","Mid cap","Information Technology","$6,298,625,142","0.00%","-10.29","0.38","1.32","Analyze"
"UHS","Universal Health Services Inc.","Common stocks","Mid cap","Health Care","$6,295,705,748","0.83%","6.66","0.49","1.06","Analyze"
"NWL","Newell Brands Inc","Common stocks","Mid cap","Consumer Discretionary","$6,067,512,000","6.17%","8.36","0.57","1.51","Analyze"
"NCLH","Norwegian Cruise Line Holdings Ltd","Common stocks","Mid cap","Consumer Discretionary","$5,612,904,357","0.00%","-1.35","4.81","3.70","Analyze"
"ALK","Alaska Air Group Inc","Common stocks","Mid cap","Industrials","$5,377,816,294","0.00%","11.54","0.76","1.48","Analyze"
"VNO","Vornado Realty Trust","REITs","Mid cap","Real Estate","$4,602,601,416","8.62%","28.86","2.79","0.70","Analyze"
"DISH","Dish Network Corp Class A","Common stocks","Mid cap","Communication Services","$4,494,793,272","0.00%","1.98","0.25","0.27","Analyze"
"RL","Ralph Lauren Corp Class A","Common stocks","Mid cap","Consumer Discretionary","$4,112,956,614","3.10%","8.40","0.69","1.55","Analyze"
